CaVal,points,MaxI
7.049373433583961e-10,0,0
7.073558897243109e-10,0,0
7.097744360902256e-10,0,0
7.121929824561404e-10,0,0
7.146115288220552e-10,0,0
7.1703007518797e-10,0,0
7.194486215538848e-10,0,0
7.218671679197996e-10,0,0
7.242857142857144e-10,0,0
7.267042606516291e-10,0,0
7.291228070175439e-10,0,0
7.315413533834587e-10,0,0
7.339598997493736e-10,0,0
7.363784461152883e-10,0,0
7.387969924812031e-10,0,0
7.412155388471179e-10,0,0
7.436340852130327e-10,0,0
7.460526315789474e-10,0,0
7.484711779448622e-10,0,0
7.50889724310777e-10,0,0
7.533082706766919e-10,0,0
7.557268170426066e-10,0,0
7.581453634085214e-10,0,0
7.605639097744362e-10,0,0
7.629824561403509e-10,0,0
7.654010025062657e-10,0,0
7.678195488721805e-10,0,0
7.702380952380954e-10,0,0
7.726566416040101e-10,0,0
7.750751879699249e-10,0,0
7.774937343358397e-10,0,0
7.799122807017545e-10,0,0
7.823308270676692e-10,0,0
7.84749373433584e-10,0,0
7.871679197994989e-10,0,0
7.895864661654137e-10,0,0
7.920050125313284e-10,0,0
7.944235588972432e-10,0,0
7.96842105263158e-10,0,0
7.992606516290728e-10,0,0
8.016791979949875e-10,0,0
8.040977443609023e-10,0,0
8.065162907268172e-10,0,0
8.089348370927319e-10,0,0
8.113533834586467e-10,0,0
8.137719298245615e-10,0,0
8.161904761904763e-10,0,0
8.18609022556391e-10,0,0
8.210275689223058e-10,0,0
8.234461152882207e-10,0,0
8.258646616541355e-10,0,0
8.282832080200502e-10,0,0
8.30701754385965e-10,0,0
8.331203007518798e-10,0,0
8.355388471177946e-10,0,0
8.379573934837093e-10,0,0
8.403759398496242e-10,0,0
8.42794486215539e-10,0,0
8.452130325814538e-10,0,0
8.476315789473685e-10,0,0
8.500501253132833e-10,0,0
8.524686716791981e-10,0,0
8.548872180451128e-10,0,0
8.573057644110276e-10,0,0
8.597243107769425e-10,0,0
8.621428571428573e-10,0,0
8.64561403508772e-10,0,0
8.669799498746868e-10,0,0
8.693984962406016e-10,0,0
8.718170426065164e-10,0,0
8.742355889724311e-10,0,0
8.76654135338346e-10,0,0
8.790726817042608e-10,0,0
8.814912280701756e-10,0,0
8.839097744360903e-10,0,0
8.863283208020051e-10,0,0
8.887468671679199e-10,0,0
8.911654135338346e-10,0,0
8.935839598997495e-10,0,0
8.960025062656643e-10,0,0
8.984210526315791e-10,0,0
9.008395989974938e-10,0,0
9.032581453634086e-10,0,0
9.056766917293234e-10,0,0
9.080952380952382e-10,0,0
9.105137844611529e-10,0,0
9.129323308270678e-10,0,0
9.153508771929826e-10,0,0
9.177694235588974e-10,0,0
9.201879699248121e-10,0,0
9.226065162907269e-10,0,0
9.250250626566417e-10,0,0
9.274436090225565e-10,0,0
9.298621553884713e-10,0,0
9.322807017543862e-10,0,0
9.34699248120301e-10,0,0
9.371177944862158e-10,0,0
9.395363408521305e-10,0,0
9.419548872180453e-10,0,0
9.4437343358396e-10,0,0
9.467919799498748e-10,0,0
9.492105263157896e-10,0,0
9.516290726817044e-10,0,0
9.540476190476192e-10,0,0
9.56466165413534e-10,0,0
9.588847117794487e-10,0,0
9.613032581453635e-10,0,0
9.637218045112783e-10,0,0
9.661403508771932e-10,0,0
9.685588972431078e-10,0,0
9.709774436090226e-10,0,0
9.733959899749376e-10,0,0
9.758145363408523e-10,0,0
9.782330827067671e-10,0,0
9.806516290726819e-10,0,0
9.830701754385967e-10,0,0
9.854887218045114e-10,0,0
9.879072681704262e-10,0,0
9.90325814536341e-10,0,0
9.927443609022557e-10,0,0
9.951629072681705e-10,0,0
9.975814536340853e-10,0,0
1e-09,0,0
